Idade;Sexo;Grau_Escolaridade;Salario;Tempo_Emprego;Moradia;Valor_Emprestimo;Proposito;Taxa;Comprometimento_Renda;Score_Credito;Inadimplencias_Anteriores;Credito_Concedido
21.0;feminino;Bacharel;14988.0;0;OUTROS;4000.0;EDUCACIONAL;12.84;0.27;553;No;1
21.0;masculino;Segundo Grau;14858.0;0;PRÓPRIA;2000.0;MÉDICO;11.12;0.13;589;No;1
25.0;masculino;Bacharel;144855.0;1;ALUGUEL;32000.0;PROJETO;6.62;0.22;586;Yes;0
26.0;masculino;Bacharel;114645.0;2;ALUGUEL;31050.0;REFORMA;14.17;0.27;681;No;1
25.0;feminino;Segundo Grau;368115.0;3;ALUGUEL;24250.0;QUITAÇÃO;13.85;0.07;567;Yes;0
26.0;feminino;Tecnólogo;361076.0;1;HIPOTECA;7800.0;MÉDICO;13.49;0.02;669;No;0
21.0;masculino;Tecnólogo;15150.0;0;PRÓPRIA;2500.0;EDUCACIONAL;7.51;0.17;600;No;1
22.0;feminino;Bacharel;58868.0;0;ALUGUEL;30000.0;EDUCACIONAL;18.39;0.51;606;No;1
24.0;masculino;Segundo Grau;78026.0;3;ALUGUEL;30000.0;QUITAÇÃO;14.54;0.38;582;No;1
25.0;masculino;Bacharel;90785.0;4;ALUGUEL;30000.0;REFORMA;16.89;0.33;649;No;1
23.0;feminino;Segundo Grau;86811.0;0;ALUGUEL;30000.0;QUITAÇÃO;11.01;0.35;602;No;1
26.0;masculino;Bacharel;75503.0;5;ALUGUEL;30000.0;MÉDICO;17.99;0.4;616;No;1
24.0;feminino;Segundo Grau;15082.0;0;PRÓPRIA;2500.0;PROJETO;12.69;0.17;631;No;1
26.0;masculino;Bacharel;361293.0;5;HIPOTECA;20000.0;PROJETO;7.88;0.06;684;Yes;0
23.0;masculino;Segundo Grau;361547.0;0;PRÓPRIA;24250.0;EDUCACIONAL;19.41;0.07;637;Yes;0
26.0;masculino;Mestrado;360680.0;5;PRÓPRIA;10000.0;REFORMA;10.38;0.03;649;No;0
26.0;masculino;Bacharel;360977.0;5;HIPOTECA;25000.0;EDUCACIONAL;15.33;0.07;695;Yes;0
25.0;feminino;Bacharel;361244.0;2;HIPOTECA;18000.0;REFORMA;16.45;0.05;620;No;0
26.0;masculino;Bacharel;98230.0;2;ALUGUEL;30000.0;PESSOAL;7.49;0.31;622;No;1
22.0;feminino;Segundo Grau;80838.0;0;ALUGUEL;30000.0;MÉDICO;12.69;0.37;645;No;1
26.0;masculino;Mestrado;107957.0;2;ALUGUEL;30000.0;QUITAÇÃO;6.62;0.28;654;No;1
24.0;feminino;Bacharel;94649.0;2;ALUGUEL;30000.0;QUITAÇÃO;11.01;0.32;624;No;1
23.0;masculino;Segundo Grau;94550.0;1;ALUGUEL;30000.0;QUITAÇÃO;18.62;0.32;570;No;1
23.0;masculino;Bacharel;111153.0;3;ALUGUEL;30000.0;PESSOAL;15.23;0.27;648;No;1
23.0;feminino;Tecnólogo;117250.0;0;ALUGUEL;30000.0;PROJETO;10.65;0.26;652;No;1
25.0;masculino;Bacharel;144985.0;3;ALUGUEL;30000.0;EDUCACIONAL;7.9;0.21;559;No;0
26.0;masculino;Segundo Grau;337133.0;7;ALUGUEL;10000.0;PESSOAL;15.96;0.03;623;Yes;0
26.0;masculino;Tecnólogo;333566.0;2;ALUGUEL;20000.0;PROJETO;11.48;0.06;602;Yes;0
23.0;masculino;Bacharel;333399.0;1;PRÓPRIA;35000.0;PESSOAL;11.01;0.1;609;No;0
25.0;masculino;Mestrado;154793.0;1;ALUGUEL;30000.0;PESSOAL;7.29;0.19;573;Yes;0
24.0;masculino;Tecnólogo;15229.0;1;PRÓPRIA;1750.0;PROJETO;11.01;0.11;631;Yes;0
21.0;feminino;Bacharel;158338.0;0;ALUGUEL;30000.0;PROJETO;5.99;0.19;623;Yes;0
22.0;feminino;Bacharel;331034.0;0;PRÓPRIA;12000.0;PROJETO;11.58;0.04;602;Yes;0
26.0;feminino;Segundo Grau;316466.0;6;HIPOTECA;10000.0;EDUCACIONAL;11.01;0.03;579;No;1
25.0;feminino;Tecnólogo;267671.0;0;HIPOTECA;25000.0;MÉDICO;15.7;0.09;582;No;1
22.0;masculino;Mestrado;85191.0;0;ALUGUEL;29100.0;EDUCACIONAL;15.99;0.34;700;No;1
22.0;masculino;Tecnólogo;15013.0;0;HIPOTECA;1500.0;EDUCACIONAL;14.84;0.1;688;No;0
26.0;masculino;Bacharel;313100.0;3;PRÓPRIA;28000.0;REFORMA;10.99;0.09;607;Yes;0
25.0;feminino;Bacharel;311952.0;0;HIPOTECA;20000.0;REFORMA;14.42;0.06;661;Yes;0
24.0;masculino;Segundo Grau;306897.0;5;HIPOTECA;9600.0;EDUCACIONAL;6.99;0.03;562;Yes;0
25.0;feminino;Bacharel;301136.0;0;ALUGUEL;25000.0;MÉDICO;13.49;0.08;664;Yes;0
25.0;masculino;Segundo Grau;15162.0;1;PRÓPRIA;3000.0;MÉDICO;11.01;0.2;564;No;1
22.0;masculino;Tecnólogo;69042.0;0;ALUGUEL;28000.0;MÉDICO;11.01;0.41;598;No;1
21.0;feminino;Segundo Grau;15307.0;0;PRÓPRIA;3000.0;EDUCACIONAL;13.61;0.2;557;No;1
23.0;feminino;Tecnólogo;79183.0;0;ALUGUEL;28000.0;EDUCACIONAL;7.9;0.35;677;No;1
26.0;masculino;Bacharel;102654.0;4;ALUGUEL;28000.0;PROJETO;7.49;0.27;690;No;1
26.0;masculino;Tecnólogo;15229.0;1;PRÓPRIA;6100.0;EDUCACIONAL;7.51;0.4;599;No;1
22.0;masculino;Segundo Grau;106566.0;0;ALUGUEL;28000.0;PROJETO;9.91;0.26;604;No;1
21.0;feminino;Bacharel;15252.0;0;PRÓPRIA;4200.0;PESSOAL;13.48;0.28;663;No;1
22.0;masculino;Bacharel;15432.0;3;PRÓPRIA;4750.0;QUITAÇÃO;7.14;0.31;601;No;1
24.0;masculino;Segundo Grau;100332.0;1;ALUGUEL;28000.0;PROJETO;15.99;0.28;634;No;1
24.0;masculino;Bacharel;300951.0;2;ALUGUEL;18000.0;EDUCACIONAL;12.98;0.06;671;No;0
144.0;masculino;Bacharel;300616.0;125;ALUGUEL;4800.0;PROJETO;13.57;0.02;789;No;0
25.0;feminino;Bacharel;121062.0;1;ALUGUEL;28000.0;QUITAÇÃO;12.69;0.23;622;No;0
26.0;masculino;Tecnólogo;133372.0;1;ALUGUEL;28000.0;EDUCACIONAL;8.9;0.21;538;Yes;0
26.0;masculino;Bacharel;15505.0;0;PRÓPRIA;2700.0;QUITAÇÃO;11.01;0.17;587;No;1
22.0;masculino;Mestrado;130852.0;0;ALUGUEL;28000.0;EDUCACIONAL;11.01;0.21;683;No;1
23.0;masculino;Tecnólogo;182316.0;0;ALUGUEL;28000.0;QUITAÇÃO;11.11;0.15;634;Yes;0
24.0;feminino;Bacharel;83853.0;3;ALUGUEL;27600.0;REFORMA;11.01;0.33;690;No;1
21.0;feminino;Bacharel;15394.0;0;HIPOTECA;3250.0;QUITAÇÃO;15.68;0.21;518;No;1
22.0;feminino;Bacharel;85243.0;0;ALUGUEL;27500.0;EDUCACIONAL;13.06;0.32;583;No;1
22.0;masculino;Tecnólogo;288907.0;2;PRÓPRIA;25000.0;PESSOAL;11.01;0.09;617;Yes;0
26.0;masculino;Tecnólogo;89074.0;4;ALUGUEL;27050.0;PROJETO;15.62;0.3;668;No;1
24.0;masculino;Mestrado;100509.0;2;ALUGUEL;27000.0;PESSOAL;13.49;0.27;673;No;1
24.0;masculino;Segundo Grau;88950.0;3;ALUGUEL;27000.0;PROJETO;11.01;0.3;706;No;1
23.0;feminino;Segundo Grau;75894.0;1;ALUGUEL;26000.0;MÉDICO;11.71;0.34;536;No;1
23.0;masculino;Tecnólogo;145092.0;0;ALUGUEL;25600.0;EDUCACIONAL;12.69;0.18;557;Yes;0
24.0;feminino;Bacharel;15928.0;1;PRÓPRIA;1600.0;MÉDICO;13.57;0.1;689;Yes;0
22.0;masculino;Bacharel;73131.0;3;ALUGUEL;25475.0;PROJETO;10.99;0.35;681;No;1
25.0;masculino;Mestrado;281501.0;4;HIPOTECA;20000.0;MÉDICO;14.27;0.07;623;Yes;0
24.0;feminino;Tecnólogo;281775.0;0;PRÓPRIA;20000.0;REFORMA;8.88;0.07;595;Yes;0
26.0;masculino;Bacharel;281792.0;1;HIPOTECA;21600.0;REFORMA;12.18;0.08;584;Yes;0
25.0;masculino;Bacharel;266090.0;4;HIPOTECA;11900.0;QUITAÇÃO;14.42;0.04;669;No;1
26.0;masculino;Segundo Grau;279664.0;3;HIPOTECA;25000.0;MÉDICO;14.17;0.09;642;Yes;0
25.0;feminino;Segundo Grau;277017.0;4;HIPOTECA;35000.0;MÉDICO;13.99;0.13;622;Yes;0
23.0;masculino;Tecnólogo;100756.0;0;ALUGUEL;25300.0;EDUCACIONAL;10.99;0.25;689;No;1
22.0;masculino;Segundo Grau;16218.0;1;HIPOTECA;2000.0;PESSOAL;5.42;0.12;614;No;1
25.0;feminino;Bacharel;16211.0;2;PRÓPRIA;1750.0;PESSOAL;13.61;0.11;597;Yes;0
21.0;feminino;Bacharel;51922.0;3;ALUGUEL;25000.0;EDUCACIONAL;12.73;0.48;673;No;1
24.0;masculino;Tecnólogo;50309.0;3;ALUGUEL;25000.0;REFORMA;11.01;0.5;625;No;1
25.0;masculino;Segundo Grau;16378.0;0;PRÓPRIA;3000.0;QUITAÇÃO;12.87;0.18;603;No;1
24.0;masculino;Bacharel;16572.0;0;HIPOTECA;3650.0;REFORMA;9.91;0.22;589;No;1
26.0;masculino;Mestrado;272201.0;5;HIPOTECA;20000.0;REFORMA;11.49;0.07;670;Yes;0
25.0;feminino;Bacharel;271324.0;3;HIPOTECA;30000.0;REFORMA;19.91;0.11;637;Yes;0
26.0;masculino;Tecnólogo;256862.0;2;HIPOTECA;35000.0;EDUCACIONAL;10.65;0.14;643;No;1
24.0;masculino;Segundo Grau;271342.0;0;ALUGUEL;6000.0;MÉDICO;11.01;0.02;508;Yes;0
24.0;masculino;Segundo Grau;16470.0;2;HIPOTECA;4500.0;QUITAÇÃO;11.83;0.27;643;No;1
23.0;masculino;Segundo Grau;16599.0;0;PRÓPRIA;2400.0;QUITAÇÃO;13.49;0.14;505;No;1
22.0;masculino;Bacharel;51608.0;0;ALUGUEL;25000.0;MÉDICO;14.59;0.48;593;No;1
26.0;feminino;Mestrado;58516.0;6;ALUGUEL;25000.0;EDUCACIONAL;9.64;0.43;686;No;1
25.0;feminino;Tecnólogo;16395.0;4;PRÓPRIA;3600.0;MÉDICO;14.59;0.22;646;No;1
22.0;feminino;Bacharel;16890.0;0;PRÓPRIA;4750.0;EDUCACIONAL;11.01;0.28;645;No;1
25.0;feminino;Tecnólogo;51747.0;3;ALUGUEL;25000.0;EDUCACIONAL;16.35;0.48;697;No;1
21.0;masculino;Segundo Grau;59864.0;0;ALUGUEL;25000.0;EDUCACIONAL;10.99;0.42;648;No;1
25.0;masculino;Mestrado;270972.0;1;HIPOTECA;25000.0;PROJETO;18.67;0.09;640;Yes;0
26.0;masculino;Bacharel;270870.0;5;ALUGUEL;3000.0;EDUCACIONAL;9.32;0.01;681;No;0
23.0;feminino;Tecnólogo;270729.0;0;ALUGUEL;7500.0;QUITAÇÃO;8.63;0.03;646;No;0
26.0;masculino;Bacharel;270877.0;4;HIPOTECA;25000.0;PROJETO;10.08;0.09;615;Yes;0
22.0;masculino;Tecnólogo;60501.0;0;ALUGUEL;25000.0;PESSOAL;11.83;0.41;687;No;1
23.0;masculino;Segundo Grau;60754.0;1;ALUGUEL;25000.0;QUITAÇÃO;7.9;0.41;650;No;1
25.0;masculino;Bacharel;60829.0;0;ALUGUEL;25000.0;REFORMA;5.99;0.41;588;No;1
24.0;masculino;Bacharel;53825.0;2;ALUGUEL;25000.0;QUITAÇÃO;15.33;0.46;652;No;1
23.0;masculino;Segundo Grau;60801.0;0;ALUGUEL;25000.0;PROJETO;11.83;0.41;658;No;1
22.0;masculino;Segundo Grau;60747.0;0;ALUGUEL;25000.0;PROJETO;10.36;0.41;634;No;1
22.0;feminino;Segundo Grau;61029.0;0;ALUGUEL;25000.0;PROJETO;12.23;0.41;623;No;1
22.0;feminino;Tecnólogo;63236.0;0;ALUGUEL;25000.0;EDUCACIONAL;11.11;0.4;635;No;1
23.0;feminino;Bacharel;17149.0;0;PRÓPRIA;4950.0;QUITAÇÃO;7.9;0.29;531;No;1
24.0;feminino;Mestrado;265066.0;4;HIPOTECA;25000.0;EDUCACIONAL;11.58;0.09;665;Yes;0
23.0;masculino;Tecnólogo;260205.0;2;HIPOTECA;21000.0;QUITAÇÃO;8.9;0.08;703;No;0
25.0;feminino;Tecnólogo;260035.0;5;HIPOTECA;25000.0;EDUCACIONAL;16.07;0.1;585;Yes;0
26.0;feminino;Bacharel;260444.0;4;HIPOTECA;20000.0;EDUCACIONAL;14.22;0.08;594;No;0
23.0;masculino;Bacharel;258980.0;0;HIPOTECA;35000.0;MÉDICO;14.79;0.14;618;Yes;0
26.0;masculino;Segundo Grau;259081.0;2;HIPOTECA;12000.0;EDUCACIONAL;7.88;0.05;626;Yes;0
23.0;masculino;Segundo Grau;63497.0;0;ALUGUEL;25000.0;PESSOAL;13.22;0.39;695;No;1
26.0;feminino;Doutorado;56325.0;2;ALUGUEL;25000.0;QUITAÇÃO;11.86;0.44;690;No;1
22.0;masculino;Bacharel;64842.0;0;ALUGUEL;25000.0;EDUCACIONAL;13.43;0.39;574;No;1
26.0;feminino;Segundo Grau;57856.0;0;ALUGUEL;25000.0;REFORMA;15.28;0.43;602;No;1
23.0;masculino;Tecnólogo;57318.0;0;ALUGUEL;25000.0;PROJETO;17.93;0.44;679;No;1
23.0;feminino;Segundo Grau;16916.0;2;HIPOTECA;1400.0;EDUCACIONAL;9.25;0.08;615;No;0
21.0;masculino;Mestrado;16664.0;0;PRÓPRIA;4500.0;PROJETO;12.98;0.27;601;No;1
22.0;masculino;Tecnólogo;252803.0;0;HIPOTECA;16000.0;PROJETO;10.62;0.06;577;Yes;0
26.0;feminino;Tecnólogo;253061.0;3;PRÓPRIA;22000.0;PESSOAL;11.83;0.09;588;Yes;0
26.0;masculino;Bacharel;58602.0;8;ALUGUEL;25000.0;PROJETO;18.43;0.43;595;No;1
22.0;masculino;Segundo Grau;67012.0;2;ALUGUEL;25000.0;EDUCACIONAL;11.01;0.37;653;No;1
24.0;feminino;Mestrado;66643.0;3;ALUGUEL;25000.0;REFORMA;11.01;0.38;663;No;1
23.0;masculino;Bacharel;66599.0;0;ALUGUEL;25000.0;EDUCACIONAL;11.36;0.38;653;No;1
23.0;masculino;Tecnólogo;67212.0;2;ALUGUEL;25000.0;EDUCACIONAL;15.65;0.37;598;No;1
24.0;feminino;Segundo Grau;66918.0;1;ALUGUEL;25000.0;PESSOAL;13.22;0.37;630;No;1
26.0;masculino;Tecnólogo;68066.0;2;ALUGUEL;25000.0;QUITAÇÃO;12.87;0.37;637;No;1
24.0;masculino;Tecnólogo;245545.0;1;PRÓPRIA;20000.0;MÉDICO;13.04;0.08;660;Yes;0
23.0;masculino;Tecnólogo;229083.0;0;HIPOTECA;22000.0;EDUCACIONAL;17.58;0.1;639;No;1
23.0;masculino;Segundo Grau;17859.0;0;PRÓPRIA;7750.0;PESSOAL;17.04;0.43;626;No;1
24.0;feminino;Tecnólogo;72608.0;3;ALUGUEL;25000.0;PESSOAL;10.99;0.34;612;No;1
24.0;masculino;Bacharel;73073.0;1;ALUGUEL;25000.0;PESSOAL;11.11;0.34;628;No;1
26.0;feminino;Mestrado;65880.0;2;ALUGUEL;25000.0;QUITAÇÃO;14.83;0.38;592;No;1
23.0;masculino;Segundo Grau;17755.0;1;PRÓPRIA;4000.0;QUITAÇÃO;11.01;0.23;580;No;1
24.0;masculino;Bacharel;241180.0;3;ALUGUEL;12000.0;MÉDICO;12.69;0.05;634;No;0
24.0;masculino;Tecnólogo;240894.0;3;HIPOTECA;12000.0;REFORMA;13.49;0.05;678;No;0
21.0;masculino;Segundo Grau;240980.0;0;HIPOTECA;16000.0;EDUCACIONAL;14.65;0.07;557;Yes;0
25.0;masculino;Bacharel;65742.0;3;ALUGUEL;25000.0;REFORMA;16.82;0.38;672;No;1
23.0;masculino;Bacharel;72713.0;0;ALUGUEL;25000.0;PESSOAL;12.73;0.34;613;No;1
23.0;masculino;Segundo Grau;72627.0;3;ALUGUEL;25000.0;PESSOAL;10.25;0.34;566;No;1
21.0;masculino;Tecnólogo;72843.0;0;ALUGUEL;25000.0;EDUCACIONAL;10.99;0.34;718;No;1
25.0;masculino;Segundo Grau;75504.0;4;ALUGUEL;25000.0;MÉDICO;12.73;0.33;484;No;1
22.0;feminino;Segundo Grau;68824.0;0;ALUGUEL;25000.0;REFORMA;14.96;0.36;634;No;1
23.0;feminino;Bacharel;241167.0;2;HIPOTECA;28000.0;EDUCACIONAL;11.01;0.12;653;Yes;0
21.0;masculino;Bacharel;241060.0;0;HIPOTECA;25000.0;QUITAÇÃO;13.99;0.1;699;No;0
24.0;masculino;Segundo Grau;240855.0;0;HIPOTECA;24000.0;PROJETO;7.49;0.1;656;Yes;0
26.0;masculino;Segundo Grau;241030.0;3;HIPOTECA;15000.0;EDUCACIONAL;14.79;0.06;626;Yes;0
25.0;masculino;Segundo Grau;240895.0;2;HIPOTECA;15500.0;QUITAÇÃO;11.99;0.06;659;No;0
24.0;feminino;Segundo Grau;240932.0;4;ALUGUEL;10000.0;EDUCACIONAL;8.49;0.04;604;Yes;0
24.0;masculino;Tecnólogo;80145.0;1;ALUGUEL;25000.0;EDUCACIONAL;9.91;0.31;636;No;1
22.0;masculino;Mestrado;80303.0;0;ALUGUEL;25000.0;EDUCACIONAL;13.06;0.31;554;No;1
22.0;masculino;Segundo Grau;241048.0;0;HIPOTECA;9000.0;QUITAÇÃO;6.17;0.04;587;Yes;0
144.0;masculino;Tecnólogo;241424.0;121;HIPOTECA;6000.0;EDUCACIONAL;11.86;0.02;807;No;0
25.0;masculino;Bacharel;241005.0;4;ALUGUEL;18000.0;EDUCACIONAL;16.32;0.07;708;Yes;0
25.0;feminino;Mestrado;240768.0;2;HIPOTECA;12000.0;PROJETO;10.38;0.05;669;Yes;0
25.0;masculino;Tecnólogo;241201.0;2;HIPOTECA;23050.0;PESSOAL;14.35;0.1;578;No;0
24.0;masculino;Bacharel;240920.0;5;HIPOTECA;20000.0;QUITAÇÃO;11.01;0.08;615;No;0
24.0;feminino;Mestrado;72919.0;1;ALUGUEL;25000.0;QUITAÇÃO;11.01;0.34;553;No;1
21.0;masculino;Mestrado;18008.0;0;PRÓPRIA;3000.0;REFORMA;11.01;0.17;635;No;1
26.0;feminino;Tecnólogo;81238.0;3;ALUGUEL;25000.0;PESSOAL;15.21;0.31;531;No;1
23.0;masculino;Segundo Grau;80868.0;1;ALUGUEL;25000.0;EDUCACIONAL;7.9;0.31;621;No;1
24.0;masculino;Bacharel;81537.0;1;ALUGUEL;25000.0;PROJETO;10.99;0.31;674;No;1
24.0;feminino;Tecnólogo;82741.0;0;ALUGUEL;25000.0;PESSOAL;14.09;0.3;688;No;1
25.0;feminino;Segundo Grau;83901.0;3;ALUGUEL;25000.0;PESSOAL;17.49;0.3;597;No;1
25.0;masculino;Tecnólogo;240717.0;1;HIPOTECA;12000.0;EDUCACIONAL;11.48;0.05;640;No;0
26.0;feminino;Tecnólogo;226744.0;0;HIPOTECA;20000.0;PROJETO;17.74;0.09;621;No;1
26.0;feminino;Bacharel;241114.0;5;HIPOTECA;3000.0;PESSOAL;13.92;0.01;608;Yes;0
25.0;masculino;Bacharel;85284.0;3;ALUGUEL;25000.0;EDUCACIONAL;15.21;0.29;653;No;1
22.0;feminino;Bacharel;18152.0;0;PRÓPRIA;4000.0;MÉDICO;10.99;0.22;585;No;1
24.0;feminino;Segundo Grau;84871.0;3;ALUGUEL;25000.0;EDUCACIONAL;11.86;0.29;569;No;1
24.0;masculino;Bacharel;18294.0;2;PRÓPRIA;6000.0;PESSOAL;7.49;0.33;587;No;1
24.0;masculino;Bacharel;68029.0;1;ALUGUEL;25000.0;MÉDICO;16.49;0.37;631;No;1
25.0;feminino;Segundo Grau;80001.0;4;ALUGUEL;25000.0;PROJETO;15.33;0.31;592;No;1
26.0;feminino;Segundo Grau;79875.0;6;ALUGUEL;25000.0;REFORMA;11.58;0.31;679;No;1
25.0;masculino;Segundo Grau;18449.0;1;PRÓPRIA;5375.0;EDUCACIONAL;5.79;0.29;645;No;1
25.0;masculino;Tecnólogo;88153.0;0;ALUGUEL;25000.0;MÉDICO;13.11;0.28;669;No;1
23.0;feminino;Bacharel;90109.0;0;ALUGUEL;25000.0;MÉDICO;10.36;0.28;653;No;1
25.0;masculino;Bacharel;90938.0;1;ALUGUEL;25000.0;QUITAÇÃO;10.36;0.27;577;No;1
24.0;masculino;Segundo Grau;231335.0;0;ALUGUEL;22000.0;MÉDICO;11.01;0.1;668;Yes;0
21.0;masculino;Bacharel;231829.0;0;HIPOTECA;20000.0;PROJETO;6.54;0.09;629;No;0
25.0;feminino;Tecnólogo;230516.0;4;HIPOTECA;10000.0;MÉDICO;12.53;0.04;643;No;0
26.0;masculino;Bacharel;229626.0;0;HIPOTECA;15000.0;PESSOAL;11.01;0.07;626;No;0
22.0;masculino;Bacharel;228907.0;0;HIPOTECA;10000.0;PROJETO;11.01;0.04;560;Yes;0
24.0;masculino;Bacharel;90938.0;0;ALUGUEL;25000.0;EDUCACIONAL;10.25;0.27;648;No;1
22.0;masculino;Tecnólogo;86284.0;0;ALUGUEL;25000.0;EDUCACIONAL;15.95;0.29;648;No;1
26.0;masculino;Tecnólogo;228774.0;3;HIPOTECA;20000.0;PROJETO;12.18;0.09;669;Yes;0
23.0;masculino;Segundo Grau;229027.0;2;PRÓPRIA;24000.0;PESSOAL;11.83;0.1;536;Yes;0
23.0;masculino;Segundo Grau;94789.0;1;ALUGUEL;25000.0;QUITAÇÃO;11.01;0.26;548;No;1
23.0;feminino;Mestrado;94780.0;0;ALUGUEL;25000.0;PROJETO;10.62;0.26;667;No;1
23.0;masculino;Segundo Grau;95298.0;0;ALUGUEL;25000.0;PROJETO;10.74;0.26;676;No;1
25.0;masculino;Tecnólogo;223944.0;1;PRÓPRIA;10000.0;PROJETO;10.25;0.04;570;Yes;0
24.0;masculino;Segundo Grau;222629.0;0;HIPOTECA;35000.0;EDUCACIONAL;12.42;0.16;623;No;0
25.0;feminino;Bacharel;222973.0;2;ALUGUEL;15000.0;PROJETO;15.27;0.07;652;Yes;0
24.0;feminino;Segundo Grau;75240.0;1;ALUGUEL;25000.0;MÉDICO;15.33;0.33;625;No;1
23.0;feminino;Segundo Grau;96143.0;1;ALUGUEL;25000.0;PROJETO;15.21;0.26;642;No;1
21.0;masculino;Bacharel;18064.0;0;PRÓPRIA;6250.0;PROJETO;14.72;0.35;580;No;1
24.0;masculino;Tecnólogo;96627.0;2;ALUGUEL;25000.0;PESSOAL;15.7;0.26;622;No;1
24.0;masculino;Bacharel;96309.0;3;ALUGUEL;25000.0;EDUCACIONAL;13.35;0.26;581;No;1
21.0;feminino;Segundo Grau;18421.0;1;HIPOTECA;1500.0;MÉDICO;11.01;0.08;623;No;0
24.0;masculino;Mestrado;96836.0;1;ALUGUEL;25000.0;EDUCACIONAL;6.62;0.26;583;No;1
26.0;masculino;Bacharel;96947.0;4;ALUGUEL;25000.0;QUITAÇÃO;13.61;0.26;645;No;1
22.0;feminino;Tecnólogo;222975.0;2;ALUGUEL;25000.0;MÉDICO;11.36;0.11;593;Yes;0
26.0;masculino;Tecnólogo;222985.0;3;PRÓPRIA;5000.0;PESSOAL;7.68;0.02;659;Yes;0
24.0;feminino;Bacharel;223064.0;0;ALUGUEL;22000.0;REFORMA;14.46;0.1;655;Yes;0
23.0;masculino;Tecnólogo;221559.0;2;PRÓPRIA;2500.0;EDUCACIONAL;11.83;0.01;583;Yes;0
24.0;feminino;Tecnólogo;207712.0;0;HIPOTECA;20000.0;QUITAÇÃO;13.47;0.1;582;No;1
24.0;feminino;Bacharel;220872.0;1;HIPOTECA;20000.0;MÉDICO;11.49;0.09;504;Yes;0
